method,dataset,n_neighbors,score
knn,education,3.0,0.13457404151539262
knn,education,4.0,0.13021553316947612
knn,education,5.0,0.1276422622025212
knn,education,6.0,0.1258820282203947
knn,education,7.0,0.12458678344040586
knn,education,8.0,0.12364394288470593
knn,education,9.0,0.12299677368884834
knn,education,10.0,0.12248316510467336
knn,education,11.0,0.12199908226255733
knn,education,12.0,0.12158975126331657
knn,education,13.0,0.12125572681552602
knn,education,14.0,0.12092199790198374
knn,education,15.0,0.12063689729070222
knn,education,16.0,0.12040182941588984
knn,education,17.0,0.12014589829080043
knn,education,18.0,0.11995010953365515
knn,education,19.0,0.11981301333340684
knn,education,20.0,0.11970031278299546
knn,education,21.0,0.11961821667462953
knn,education,22.0,0.11947001861042103
knn,education,23.0,0.11934726171856673
knn,education,24.0,0.1192476580132749
knn,election,3.0,0.09626841807826228
knn,election,4.0,0.0936097482459278
knn,election,5.0,0.09190771090213166
knn,election,6.0,0.09072070654954498
knn,election,7.0,0.08992079352352486
knn,election,8.0,0.0893272978658715
knn,election,9.0,0.08883100651870299
knn,election,10.0,0.08847211271326585
knn,election,11.0,0.0881752758609686
knn,election,12.0,0.08793733583598842
knn,election,13.0,0.08775684749722786
knn,election,14.0,0.08761419267539092
knn,election,15.0,0.08749366636370869
knn,election,16.0,0.08739571419761269
knn,election,17.0,0.08725308709388468
knn,election,18.0,0.08717841536337781
knn,election,19.0,0.08705628489191784
knn,election,20.0,0.08697969974138661
knn,election,21.0,0.08691119925045049
knn,election,22.0,0.08686174518344035
knn,election,23.0,0.08683511082747211
knn,election,24.0,0.0868044919835397
knn,employment,3.0,0.13703728950637278
knn,employment,4.0,0.13257093803919723
knn,employment,5.0,0.12981026118163824
knn,employment,6.0,0.12813435110210067
knn,employment,7.0,0.12668446860432664
knn,employment,8.0,0.12565532898658893
knn,employment,9.0,0.12486556686955445
knn,employment,10.0,0.1241650042746953
knn,employment,11.0,0.12365954267896362
knn,employment,12.0,0.12323691631433313
knn,employment,13.0,0.12286518159519047
knn,employment,14.0,0.12245261199816179
knn,employment,15.0,0.12218476762818413
knn,employment,16.0,0.12185229826082851
knn,employment,17.0,0.12164837338075625
knn,employment,18.0,0.12145762661665205
knn,employment,19.0,0.12123361434928696
knn,employment,20.0,0.12107052057217926
knn,employment,21.0,0.12085797906272203
knn,employment,22.0,0.12073871180901119
knn,employment,23.0,0.12063069897556748
knn,employment,24.0,0.12056322169280817
knn,full,3.0,0.09653130453991673
knn,full,4.0,0.09417132648435304
knn,full,5.0,0.09253478839891861
knn,full,6.0,0.09155825627462788
knn,full,7.0,0.09094698121441376
knn,full,8.0,0.09041251906799243
knn,full,9.0,0.09006086271684702
knn,full,10.0,0.08975603898037013
knn,full,11.0,0.08954314328309519
knn,full,12.0,0.089351839990961
knn,full,13.0,0.0892161233366516
knn,full,14.0,0.08908082279895509
knn,full,15.0,0.08897448489532461
knn,full,16.0,0.08887999705163269
knn,full,17.0,0.08882014815549386
knn,full,18.0,0.08873799215196024
knn,full,19.0,0.08868305803837676
knn,full,20.0,0.08866016353127619
knn,full,21.0,0.08864125496095797
knn,full,22.0,0.08863726987591189
knn,full,23.0,0.08862191785310676
knn,full,24.0,0.08857208794363089
